user_id,steamid,profilestate,personaname,avatarfull,personastate,realname,primaryclanid,timecreated,loccountrycode,locstatecode
User1673,76561198110276407,1.0,GeTAnDrEe RiGhT HaNd,https://avatars.steamstatic.com/66979978c43da99eeab08c2c6dd024d3ff427dab_full.jpg,0.0,Patrik Lindberg,1.0358279145592587e+17,1381290708.0,VN,51
User1674,76561198113483575,1.0,۩ 8mm ۩,https://avatars.steamstatic.com/b047704c8457be92896088b9ec9f6454e9af4a31_full.jpg,0.0,Amumu,1.0358279143426293e+17,1383584945.0,,
User1675,76561198116822279,1.0,electronic,https://avatars.steamstatic.com/44b80538c767e7642bc8289d2bad4c02d3be6d44_full.jpg,0.0,,1.0358279145701789e+17,1386042101.0,,
User1676,76561198116854139,1.0,Nostalgia,https://avatars.steamstatic.com/af453a2ccc624c358fb85196094f29bca3973ad3_full.jpg,0.0,Lonely Demon,1.035827914295214e+17,1386037702.0,SE,26
User1677,76561198117963735,1.0,HonFz,https://avatars.steamstatic.com/c001abc7c888bf52ac22358547d8c58144cb7605_full.jpg,0.0,,1.035827914390347e+17,1386919019.0,VN,64
User1678,76561198118079697,1.0,KiritoSama,https://avatars.steamstatic.com/aa0a763acce7e0ca7a30c586efef2491e4ae3a3f_full.jpg,0.0,,1.035827914295214e+17,1387000738.0,JP,34
User1679,76561198120009183,1.0,Sag1ri,https://avatars.steamstatic.com/90281bcb08a9d28ef4c343c5f6b8b75f093e4a9b_full.jpg,1.0,,1.0358279145809107e+17,1388055050.0,GB,
User1680,76561198120111390,1.0,VlmThanh,https://avatars.steamstatic.com/187291a8ee4480d297b526314610aa4763f7673e_full.jpg,0.0,,1.0358279142952222e+17,1388066023.0,VN,
User1681,76561198121455296,1.0,sick my duck,https://avatars.steamstatic.com/5b5a4a144fbce8d422445608d8dd3ccf288a3aed_full.jpg,0.0,,1.0358279146164691e+17,1388694605.0,VN,
User1682,76561198122231491,1.0,noMERCY,https://avatars.steamstatic.com/c0cf93d4f94fad1b2131c2fded3674c1c7398ce9_full.jpg,0.0,,1.035827914295214e+17,1389200874.0,AU,
User1683,76561198122472115,1.0,,https://avatars.steamstatic.com/a81015cf098ebbc7e22d336dc1450ad30a91edfb_full.jpg,0.0,,1.035827914295214e+17,1389404268.0,CN,02
User1684,76561198124046347,1.0,gdm,https://avatars.steamstatic.com/9118fb19e7e472d11cf8d8583008a1f40ce1a83f_full.jpg,0.0,60fps 60Hz,1.035827914295214e+17,1390581554.0,,
User1685,76561198124870437,1.0,,https://avatars.steamstatic.com/97033dc86d3671c7449f7cbd105e99813f95f7ad_full.jpg,0.0,Killian Samuel,1.0358279143589429e+17,1391152140.0,VN,51
User1686,76561198125791529,1.0,Mandark,https://avatars.steamstatic.com/3264eb98d983b62854a08c6484930789771a008f_full.jpg,0.0,,1.0358279145510994e+17,1391854306.0,,
User1687,76561198126879650,1.0,LD,https://avatars.steamstatic.com/37bd8bcd0fb3bd1a466ae5654570fd36859b9d95_full.jpg,0.0,,1.0358279145930195e+17,1392554686.0,MS,03
User1688,76561198129232071,1.0,Dota 3,https://avatars.steamstatic.com/4808e224a6447f48c531c20d72e41185b7450538_full.jpg,0.0,Nguyen Khanh Pha,1.0358279143662475e+17,1394534967.0,VN,52
User1689,76561198131520629,1.0,NoNKiTi,https://avatars.steamstatic.com/8bba94d30b153bf5db591fd364bd6d3d0c379051_full.jpg,0.0,Nguyễn Ngọc Khánh,1.0358279143426293e+17,1396151333.0,VN,52
User1690,76561198132296563,1.0,Ma,https://avatars.steamstatic.com/3264eb98d983b62854a08c6484930789771a008f_full.jpg,0.0,Phạm Minh Khang,1.0358279143426293e+17,1396846680.0,VN,51
User1691,76561198133074852,1.0,Master Nhen,https://avatars.steamstatic.com/9d586a0c6a5068489fb22820515f8e7ae9f91cc9_full.jpg,0.0,,1.035827914349959e+17,1397402493.0,,
User1692,76561198133271355,1.0,ADR IS EVERYTHING,https://avatars.steamstatic.com/abd777e5a63fb23ed3829f07c74103fd1db19906_full.jpg,1.0,,1.0358279143588331e+17,1397536741.0,VN,51
User1693,76561198133948199,1.0,AndysKe,https://avatars.steamstatic.com/a0c85e1cf4ba1bd1a56808df131da9d45650282a_full.jpg,0.0,,1.0358279143803518e+17,1398011121.0,VN,51
User1694,76561198135779624,1.0,,https://avatars.steamstatic.com/a501d2fd001a3a66d3d2733d8167bf7a0bb55d30_full.jpg,4.0,,1.0358279145510994e+17,1399352082.0,VN,
User1695,76561198135911588,1.0,DxPhonggg,https://avatars.steamstatic.com/ff291a46fd92eebacefd85128199ef27917c3281_full.jpg,0.0,,1.035827914295214e+17,1399457680.0,,
User1696,76561198135975692,1.0,iCC,https://avatars.steamstatic.com/c656e1f9bbe20bbcafb8e8760f11536e244efb0f_full.jpg,0.0,Khánh Akita,1.03582791452894e+17,1399508395.0,VN,51
User1697,76561198136069195,1.0,kenzo,https://avatars.steamstatic.com/e8b5aaf8a8f61bb78639b46c341d4bf52ac73b9a_full.jpg,0.0,Max jin,1.0358279145510994e+17,1399560777.0,VN,
User1698,76561198137926473,1.0,HappyPenguin,https://avatars.steamstatic.com/de68cc13bb3ee4161bf48e3ed140ad7b81b9b9e3_full.jpg,1.0,hj hj,1.0358279144002904e+17,1400991332.0,,
User1699,76561198138845124,1.0,Silver,https://avatars.steamstatic.com/75eee034eb08a34668df84dcf2ee40e40219da55_full.jpg,0.0,,1.0358279145510994e+17,1401681153.0,,
User1700,76561198139728345,1.0,Ltvdz,https://avatars.steamstatic.com/ef2f65377396986d12aaea2b75a32cdfcb6f91d2_full.jpg,0.0,,1.0358279147381773e+17,1402218055.0,,
User1701,76561198139872747,1.0,VirgiN,https://avatars.steamstatic.com/74d3e01fb4dbf3a2d490bccc9b690c5743c9e1c7_full.jpg,0.0,,1.035827914295214e+17,1402304323.0,IT,15
User1702,76561198140952472,1.0,Minh Béo˙,https://avatars.steamstatic.com/fdd6f4d3d5c3837b5682ac352c6c909b3ad056ad_full.jpg,0.0,,1.0358279145510994e+17,1403067891.0,VN,52
User1703,76561198141328178,1.0,EvilSSpirit,https://avatars.steamstatic.com/7699b35ae5b13a7ab727733becc7abf42f73f41e_full.jpg,0.0,Chen,1.0358279143463696e+17,1403284482.0,VN,
User1704,76561198141918348,1.0,G2HipZet,https://avatars.steamstatic.com/9bcfc7039edecc2998990cbf2848b9f91cb4e81a_full.jpg,0.0,,1.035827914574398e+17,1403608865.0,US,CA
User1705,76561198142561214,1.0,d,https://avatars.steamstatic.com/6581a4844d27326c8b8a86dadd79d182b0edc221_full.jpg,1.0,Dũng,1.0358279145878717e+17,1404004520.0,VN,13
User1706,76561198143991922,1.0,ShynCat,https://avatars.steamstatic.com/c55e6c32dabf298a4eed9356543a336e74f2a9bd_full.jpg,0.0,Trần Hiếu,1.0358279145552342e+17,1404828058.0,VN,52
User1707,76561198144061452,1.0,,https://avatars.steamstatic.com/cc9255e134c30b5ef1f4ab54304be778747eecac_full.jpg,0.0,Reality,1.0358279144121141e+17,1404909432.0,CN,30
User1708,76561198148407813,1.0,Nghĩa 100Kg,https://avatars.steamstatic.com/d72706d3a39f844f4faa8d7bbcd58b8fb939b4c7_full.jpg,0.0,jacky,1.035827914295214e+17,1407177857.0,VN,52
User1709,76561198150175737,1.0,ayyy,https://avatars.steamstatic.com/2461a52fd8b39479c4c23dfd08e0dc5cf0174b46_full.jpg,0.0,,1.035827914720558e+17,1408169837.0,FR,
User1710,76561198152488744,1.0,Dunk999,https://avatars.steamstatic.com/99fab29076a3758950a0a171137de43f47632ed6_full.jpg,1.0,LÂm,1.035827914295214e+17,1409467725.0,DE,16
User1711,76561198156529088,1.0,k0m,https://avatars.steamstatic.com/bb6fea2f12de04e680c8d1c83fa2f1443259e1ce_full.jpg,0.0,Trần Thiên Vũ,1.0358279143579131e+17,1411901898.0,VN,52
User1712,76561198158856909,1.0,kai,https://avatars.steamstatic.com/2200993131b9ac468c8f8fab83260f29a4c461b3_full.jpg,0.0,You are,1.035827914295214e+17,1413455169.0,NE,
User1713,76561198164776313,1.0,hieuVN,https://avatars.steamstatic.com/05b39f13599f51ab7c1a5e96b4b1d844a991c388_full.jpg,0.0,,1.0358279143992886e+17,1416835545.0,,
User1714,76561198165058538,1.0,Thich Thi Ban,https://avatars.steamstatic.com/8bfdc1eedf779ced8b79c1fb9fa1d7449b575df2_full.jpg,0.0,Phạm Tùng,1.0358279143640901e+17,1416998600.0,,
User1715,76561198173292277,1.0,Hoang,https://avatars.steamstatic.com/6ce703909f59710d8e40a469d96782116c549b42_full.jpg,0.0,,1.0358279145776818e+17,1420966089.0,TV,
User1716,76561198175025738,1.0,MrRice,https://avatars.steamstatic.com/c420a7fb885f82141cf78bd6e2a8b0abd453a5be_full.jpg,0.0,Mr.Rice,1.0358279143505298e+17,1421828649.0,VN,51
User1717,76561198183003511,1.0,,https://avatars.steamstatic.com/f0f61c14bd5457472f2a41e1ccbb17275acd95e1_full.jpg,0.0,Du,1.035827914295214e+17,1425438437.0,TH,
User1718,76561198183032183,1.0,CHUBACCAAA,https://avatars.steamstatic.com/83ef382d6a5a8fd8bbd47294fd3cc489022f204f_full.jpg,0.0,,1.035827914567841e+17,1425479206.0,VN,
User1719,76561198184730718,1.0,Thỏ Bé Tí 3,https://avatars.steamstatic.com/de349b2b50a02dd810df847c08c2f9cc38be221f_full.jpg,1.0,Quan,1.035827914295214e+17,1426144985.0,VN,23
User1720,76561198186106902,1.0,Lagger,https://avatars.steamstatic.com/785840e9127e184d57997036c27ab2c21c06f55c_full.jpg,0.0,,1.035827914411138e+17,1426688728.0,US,TX
User1721,76561198208485147,1.0,Lala,https://avatars.steamstatic.com/4343998828cb47dfc2446c4d9ebb7251077e9864_full.jpg,0.0,,1.0358279143777166e+17,1437635053.0,JP,40
User1722,76561198208906765,1.0,Solamente,https://avatars.steamstatic.com/4f0a8f72275d9261858535a6af478f0e49c0458b_full.jpg,0.0,,,,,
User1723,76561198209391069,1.0,Mắt mờ tay chậm,https://avatars.steamstatic.com/ee0e6adb9c075b0b40cbedba2f8699d1c040ca6c_full.jpg,0.0,HuyNg,1.0358279147055216e+17,1438069422.0,VN,51
User1724,76561198212203973,1.0,DasuaGanktem,https://avatars.steamstatic.com/0cc049bccbcb928adc16ca02372774690d9a0732_full.jpg,0.0,Nam,1.035827914295214e+17,1439418117.0,VN,52
User1725,76561198213561895,1.0,TonyT HiHi,https://avatars.steamstatic.com/7c7c9c8ffc1c74e7ef5f7b433b86a41abc7af9d9_full.jpg,0.0,Tung Lam,1.0358279143578096e+17,1440052017.0,VN,51
User1726,76561198217780865,1.0,Yatoro,https://avatars.steamstatic.com/bf99b2bd9481a31fc03374e140c440438e20dd8a_full.jpg,0.0,,,,,
User1727,76561198231767668,1.0,TusP,https://avatars.steamstatic.com/542a8b5795239d4588d7453b185afcc8585563d9_full.jpg,0.0,,1.0358279145510994e+17,1433329577.0,US,
User1728,76561198236444942,1.0,Florez,https://avatars.steamstatic.com/a6cb4f17bc5b031eb2efed3e1dc84a498dd56d87_full.jpg,0.0,,1.0358279144080914e+17,1435487525.0,FR,
User1729,76561198242624688,1.0,Nga Mi Kiếm,https://avatars.steamstatic.com/631968e441e6153a75c0db4d101c49f560ef30ed_full.jpg,0.0,K[1]en,1.0358279146473398e+17,1438570254.0,SE,
User1730,76561198242982684,1.0,sâm lược 36,https://avatars.steamstatic.com/3849a16f28ce56b86f89f574a540db294d094559_full.jpg,0.0,,1.0358279142967026e+17,1438768969.0,VN,
