steamid,communityvisibilitystate,profilestate,personaname,commentpermission,profileurl,avatarfull,personastate,realname,primaryclanid,timecreated,personastateflags,loccountrycode,locstatecode,loccityid,gameextrainfo,gameid,lobbysteamid,gameserverip,gameserversteamid,response
76561198834807474,3.0,1.0,Pïñö,1.0,https://steamcommunity.com/id/ThayOnip/,https://avatars.steamstatic.com/0a4064cc75c5be0ce227c07f3438d042aaa4c843_full.jpg,0.0,Thầy Oníp ♪,103582791429521408,1525858553.0,0.0,VN,51,,,,,,,
76561198838628499,3.0,1.0,Boiz,2.0,https://steamcommunity.com/profiles/76561198838628499/,https://avatars.steamstatic.com/66493cb8acd95dff86b30be8b19202ac5952251d_full.jpg,0.0,,103582791464733987,1527700098.0,0.0,VN,05,,,,,,,
76561198839491403,3.0,1.0,Bảo Phạm Grenades,1.0,https://steamcommunity.com/profiles/76561198839491403/,https://avatars.steamstatic.com/e989c3cf05a8a5cdda8113bcf2306c23560429b9_full.jpg,0.0,,103582791429521408,1528159100.0,0.0,,,,,,,,,
76561198840702166,2.0,1.0,Dat,,https://steamcommunity.com/profiles/76561198840702166/,https://avatars.steamstatic.com/321c66e8d1a48796626839bacf693ebb45aee891_full.jpg,0.0,,,,,,,,,,,,,
76561198851587040,3.0,1.0,SoRybaybi,,https://steamcommunity.com/id/rm5smeou/,https://avatars.steamstatic.com/b2aa6d76406ad464320179c6376bac3c89dfb568_full.jpg,0.0,,103582791429521408,1533541320.0,0.0,VN,51,,,,,,,
76561198862545044,3.0,1.0,Jikey,,https://steamcommunity.com/id/vikingsjikey/,https://avatars.steamstatic.com/6592d1c885f5c309867f17beb269b2e694b92b65_full.jpg,0.0,,103582791464733987,1538087185.0,0.0,KR,,,,,,,,
76561198871525689,3.0,1.0,Quả Quả Ǘ,,https://steamcommunity.com/profiles/76561198871525689/,https://avatars.steamstatic.com/836f3f8105912bd69d3c34ca5c9d4d4c4073e0fd_full.jpg,0.0,,103582791429521408,1542820659.0,0.0,VN,,,,,,,,
76561198876457988,3.0,1.0,Runaan Fall asleep,1.0,https://steamcommunity.com/id/RunaanSoul/,https://avatars.steamstatic.com/f5292cec54f9c2533201d8ec6bb2f0850ac90bf7_full.jpg,0.0,I am really,103582791463479603,1544674511.0,0.0,HU,,,,,,,,
76561198949183812,3.0,1.0,Yurireko,,https://steamcommunity.com/id/yurireko/,https://avatars.steamstatic.com/fa2992d0b2f9253f15b13b5fa81982544f8736fd_full.jpg,0.0,Nguyen Phuong Thao,103582791429521408,1554217097.0,0.0,VN,51,,,,,,,
76561198955551425,2.0,1.0,ms LMAO,1.0,https://steamcommunity.com/id/mientrinh/,https://avatars.steamstatic.com/363d076501fe45310bdc37d434d2738e3ed26d21_full.jpg,0.0,,,,,,,,,,,,,
76561198956485645,3.0,1.0,Minh Mic Rè,1.0,https://steamcommunity.com/profiles/76561198956485645/,https://avatars.steamstatic.com/5a5298e7acd99a5f1d5ea40f3b314d105a2d6439_full.jpg,0.0,,103582791455404795,1555523597.0,0.0,VN,,,,,,,,
76561198995819114,2.0,1.0,huhu,,https://steamcommunity.com/profiles/76561198995819114/,https://avatars.steamstatic.com/5e971a031046c5e55f3bd41225f26108d31b9a69_full.jpg,0.0,,,,,,,,,,,,,
76561198995974697,3.0,1.0,vhsosad,1.0,https://steamcommunity.com/id/trvanhoang/,https://avatars.steamstatic.com/3e7fa82d331c950cc2dffca68c4e0f723849cff0_full.jpg,0.0,,103582791430911327,1570773734.0,0.0,VN,,,,,,,,
76561199015041109,3.0,1.0,Thúy Liễu,,https://steamcommunity.com/id/hanakoishi/,https://avatars.steamstatic.com/0f1cbe47c2f9559674ea85646514b6cfdfdd7bb7_full.jpg,0.0,Nguyen Hoang Nhat Mai,103582791429521408,1577763812.0,0.0,VN,52,,,,,,,
76561199028101367,3.0,1.0,Ad Breaks,1.0,https://steamcommunity.com/profiles/76561199028101367/,https://avatars.steamstatic.com/770b16aaaec99d4de451cdda6a6dd1c13c7942a0_full.jpg,0.0,,103582791464733987,1582145998.0,0.0,,,,,,,,,
76561199076154807,3.0,1.0,yDnaC,1.0,https://steamcommunity.com/id/kaijinsam/,https://avatars.steamstatic.com/f992c001483750e84c7d761d21ce8901f885e53e_full.jpg,0.0,,103582791463202148,1595471113.0,0.0,,,,,,,,,
76561199100616988,1.0,1.0,,1.0,https://steamcommunity.com/id/Sh1nDz/,https://avatars.steamstatic.com/0d5b38c54efe790e05842781507d3fa570887dc6_full.jpg,0.0,,,,,,,,,,,,,
76561199118336071,1.0,1.0,,2.0,https://steamcommunity.com/profiles/76561199118336071/,https://avatars.steamstatic.com/b7fbf78e6d2abb73de19ff818cf221d1264cca7f_full.jpg,0.0,,,,,,,,,,,,,
76561199171912145,3.0,1.0,dug,1.0,https://steamcommunity.com/profiles/76561199171912145/,https://avatars.steamstatic.com/e972208edb13c2c64bee6519b13d05e1ea0cea7d_full.jpg,0.0,,103582791429521408,1621428544.0,0.0,,,,,,,,,
76561199184437227,3.0,1.0,Trust Me,,https://steamcommunity.com/id/vianhlagio1212/,https://avatars.steamstatic.com/aa3e3278ec864fab8a2451cc54f787e7bde06345_full.jpg,0.0,,103582791429521408,1624805068.0,0.0,,,,,,,,,
76561199188287049,3.0,1.0,Chinct,1.0,https://steamcommunity.com/id/chin_ct/,https://avatars.steamstatic.com/85b044c8437ec4c04df91b9da7f125dd28a066db_full.jpg,0.0,Trinh,103582791429521408,1625914866.0,0.0,,,,,,,,,
76561199190359229,3.0,1.0,ADAM,1.0,https://steamcommunity.com/id/couhp10103/,https://avatars.steamstatic.com/cb7a836ae22d7158bd9495e1a33cd99aa44ed5e4_full.jpg,1.0,,103582791429521408,1626474172.0,0.0,,,,,,,,,
76561199213920939,3.0,1.0,76561199213920939,2.0,https://steamcommunity.com/id/tradinxxz/,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,0.0,,103582791429521408,1633864703.0,0.0,GB,,,,,,,,
76561199247468756,3.0,1.0,obsession,2.0,https://steamcommunity.com/id/omnipotentcs/,https://avatars.steamstatic.com/95dc22f63157a231ef2c78ecd3ad0a3b279e13ec_full.jpg,0.0,,103582791474635930,1645975112.0,0.0,,,,,,,,,
76561199388119642,3.0,1.0,qwerty,1.0,https://steamcommunity.com/profiles/76561199388119642/,https://avatars.steamstatic.com/26d67011d8f7fa7f8febd234b6cf2b82bf3fec43_full.jpg,0.0,,103582791429521408,1662039911.0,0.0,,,,,,,,,
76561199441408763,3.0,1.0,Gigi,1.0,https://steamcommunity.com/profiles/76561199441408763/,https://avatars.steamstatic.com/efdc89ea7d6cc82c07461d22863a410e120f6803_full.jpg,0.0,,103582791429521408,1670229566.0,0.0,,,,,,,,,
76561199522720094,3.0,1.0,cô tấm chơi đồ,,https://steamcommunity.com/profiles/76561199522720094/,https://avatars.steamstatic.com/05ed94028a362035930f98a4c19e0594693d9ab1_full.jpg,0.0,,103582791429521408,1688270830.0,0.0,,,,,,,,,
76561199536612156,3.0,1.0,Dinomoi,,https://steamcommunity.com/profiles/76561199536612156/,https://avatars.steamstatic.com/7cffb9798888955bfed0540b873ca02b8482ca1e_full.jpg,0.0,,103582791429521408,1691391394.0,0.0,,,,,,,,,
76561197963339601,3.0,1.0,TBH Calidus,,https://steamcommunity.com/id/tbhcalidus/,https://avatars.steamstatic.com/83d2ab083eb76aebed718fd01921fbe2af2b7e35_full.jpg,0.0,,103582791434373281,1071272569.0,0.0,GB,43,,,,,,,
76561197965482596,1.0,1.0,,2.0,https://steamcommunity.com/id/Felix-X/,https://avatars.steamstatic.com/5d6f8b55a73f1814b8f475315a209597e747f545_full.jpg,0.0,,,,,,,,,,,,,
76561197967075762,3.0,1.0,Lobes,,https://steamcommunity.com/id/biglobes/,https://avatars.steamstatic.com/35ac8c9d3910f8e5fc04b51dfc4acb818915fbb0_full.jpg,0.0,Shaun,103582791437261550,1087665148.0,0.0,GB,E4,,,,,,,
76561197968710838,3.0,1.0,LostShadowX,,https://steamcommunity.com/profiles/76561197968710838/,https://avatars.steamstatic.com/525c9c5624107fd1d5d013ab8188945a80c01db3_full.jpg,0.0,,103582791429521408,1094351447.0,0.0,,,,,,,,,
76561197969494473,3.0,1.0,SoX,,https://steamcommunity.com/profiles/76561197969494473/,https://avatars.steamstatic.com/75e8af332b26fa5cd466ddaf080d69825dcaea28_full.jpg,0.0,,103582791429524891,1097486764.0,0.0,,,,,,,,,
76561197970937799,3.0,1.0,TheBigLebowski,,https://steamcommunity.com/profiles/76561197970937799/,https://avatars.steamstatic.com/09ae2af11515a4f57fc028f1662aba106c406ab3_full.jpg,0.0,,103582791429568188,1101033348.0,0.0,MT,,,,,,,,
76561197971623578,3.0,1.0,DarkGunn,,https://steamcommunity.com/profiles/76561197971623578/,https://avatars.steamstatic.com/193c87ca88cd99db5d4e1635634d2d32e0c2d923_full.jpg,0.0,,103582791429521408,1102549025.0,0.0,GB,,,,,,,,
76561197977234598,2.0,1.0,MisterTea,,https://steamcommunity.com/profiles/76561197977234598/,https://avatars.steamstatic.com/77e6640c1f27b56c8cb9e7ba2143764fd3b4d9cd_full.jpg,0.0,,,,,,,,,,,,,
76561197990680998,1.0,1.0,Cycloneous,,https://steamcommunity.com/id/Cycloneous/,https://avatars.steamstatic.com/60eaef00c12f2f8a61afc3e2d1cf946f13d1d244_full.jpg,0.0,,,,,,,,,,,,,
76561197991614594,3.0,1.0,Forno,,https://steamcommunity.com/profiles/76561197991614594/,https://avatars.steamstatic.com/4b6cd6d2e672ace2f3ef26e42110bf13455514e6_full.jpg,0.0,,103582791429521408,1185949963.0,0.0,,,,,,,,,
76561197999800507,3.0,1.0,Bao Đại Hiệp,,https://steamcommunity.com/profiles/76561197999800507/,https://avatars.steamstatic.com/324ba8f68b5a5604ce8410ebc2c2a67083d48d5b_full.jpg,0.0,,103582791429521408,1215677528.0,0.0,VN,52,,,,,,,
76561198000734967,3.0,1.0,Gurgle,,https://steamcommunity.com/id/gurgled/,https://avatars.steamstatic.com/e0345d95a99a0280d31aaec05676eaad7a125d2c_full.jpg,0.0,Gurgle Firewater,103582791461085808,1219595445.0,0.0,FI,08,15485.0,,,,,,
76561198003519813,3.0,1.0,TBH Teyo,,https://steamcommunity.com/profiles/76561198003519813/,https://avatars.steamstatic.com/502c1d1cb52df565db8a616347234215520081c0_full.jpg,0.0,,103582791434373281,1228219828.0,0.0,GB,43,,,,,,,
76561198005710081,3.0,1.0,Fluxx,,https://steamcommunity.com/profiles/76561198005710081/,https://avatars.steamstatic.com/5a1ed73b5f2070e053c628c0e4aaf0c24e27f3b7_full.jpg,4.0,Willem de Smit,103582791434373281,1233330240.0,0.0,,,,,,,,,
