source,target,weight
76561198050868112,76561198074780112,1.0
76561198066534432,76561198112384000,1.0
76561198047266336,76561198281884608,1.0
76561198131873584,76561198137341296,1.0
76561198072463680,76561198245354624,1.0
76561198041279712,76561198049994000,1.0
76561198139949936,76561198245354624,1.0
76561198074210144,76561198085575856,1.0
76561198075696944,76561198085575856,1.0
76561198140116416,76561198143693712,1.0
76561197991333408,76561198062694144,1.0
76561198078659280,76561198160587920,1.0
76561198118508048,76561198130409536,1.0
76561198041531552,76561198295186480,1.0
76561198267889536,76561198295230816,1.0
76561198080869472,76561198268417440,1.0
76561198002106720,76561198245354624,1.0
76561198390372160,76561199215293952,1.0
76561198137827696,76561198162224304,1.0
76561198176156736,76561198308186832,1.0
76561198069222496,76561198142022688,1.0
76561198053677120,76561198264061280,1.0
76561198057417392,76561198304114912,1.0
76561198178518336,76561198855090384,1.0
76561198075730160,76561198127644112,1.0
76561198021741552,76561198255335104,1.0
76561198245354624,76561198297349808,1.0
76561198032168448,76561198085947872,1.0
76561198077291968,76561198092577648,1.0
76561198032543424,76561198315701408,1.0
76561198037394368,76561198245354624,1.0
76561198180356592,76561199159570928,1.0
76561198015533584,76561198086869456,1.0
76561197990502240,76561198042645712,1.0
76561198250590288,76561198268417440,1.0
76561198047614016,76561198048805984,1.0
76561198050991952,76561198081924544,1.0
76561197987815568,76561198087724896,1.0
76561198132095888,76561198177393360,1.0
76561198018636784,76561198047094512,1.0
76561198212434304,76561198304002624,1.0
76561198033707824,76561198060765936,1.0
76561198062038272,76561198315294832,1.0
76561198116364576,76561198258606560,1.0
76561197997829728,76561198162569376,1.0
76561197979128176,76561198161230160,1.0
76561198164681760,76561198202663696,1.0
76561198132321056,76561198160587920,1.0
76561198049994000,76561198106769120,1.0
76561198246436576,76561198290906192,1.0
76561198150177648,76561198321987888,1.0
76561198061911360,76561198273297936,1.0
76561198143880528,76561198425844064,1.0
76561198123069488,76561198134712352,1.0
76561198317783440,76561198398353984,1.0
76561198277861776,76561198448533040,1.0
76561198003706912,76561198127354592,1.0
76561198002054432,76561198113419424,1.0
76561198099984256,76561198142741312,1.0
76561198114794496,76561198124501632,1.0
76561198050883120,76561198067439616,1.0
76561198049331152,76561198101135760,1.0
76561198094148960,76561198131135056,1.0
76561198124322656,76561198124563200,1.0
76561198039281216,76561198397346112,1.0
76561198207641200,76561198347397296,1.0
76561198050281888,76561198240094064,1.0
76561198082197904,76561198391391520,1.0
76561198044443104,76561198096079552,1.0
76561197965593264,76561198054803936,1.0
76561198116543216,76561198191266224,1.0
76561198062694144,76561198142546576,1.0
76561198004855984,76561198297349808,1.0
76561198146206672,76561198158947008,1.0
76561198123069488,76561198257188592,1.0
76561198134687728,76561198202554432,1.0
76561198038110080,76561198116477360,1.0
76561198030183056,76561198261032304,1.0
76561198153158512,76561198263467104,1.0
76561198032850192,76561198285616704,1.0
76561198047614016,76561198073826752,1.0
76561198005472352,76561198190046752,1.0
76561198044950800,76561198276059744,1.0
76561198091402976,76561198203499456,1.0
76561198022194576,76561199483998176,1.0
76561198037085952,76561198101787584,1.0
76561198154291408,76561198223004656,1.0
76561198112384000,76561198425844064,1.0
76561198047045664,76561198399564912,1.0
76561198093671808,76561198989850560,1.0
76561198117137728,76561198133988112,1.0
76561198039568976,76561198349262976,1.0
76561198168126944,76561198208032416,1.0
76561198076829248,76561198851587040,1.0
76561198100652320,76561198818523792,1.0
76561198069222496,76561198167001488,1.0
76561198260375440,76561198384212512,1.0
76561197991465920,76561198105504976,1.0
76561198064749328,76561198286136032,1.0
76561197971244912,76561198390372160,1.0
76561198027542976,76561198125982848,1.0
76561198018912416,76561198833987536,1.0
76561198050086064,76561198166153440,1.0
76561198067558048,76561198090648880,1.0
76561198030230112,76561198117862592,1.0
76561198181034656,76561198208147968,1.0
76561197973049536,76561198122143424,1.0
76561198232339456,76561198277347152,1.0
76561198125982848,76561198144257536,1.0
76561198160542688,76561198802359888,1.0
76561198117390864,76561198208147968,1.0
76561198054083536,76561198078659280,1.0
76561198110181824,76561199514425344,1.0
76561198002106720,76561198132095888,1.0
76561197979705472,76561198158060576,1.0
76561198079398816,76561198112834208,1.0
76561198112250256,76561198152647072,1.0
76561198040196080,76561198185160496,1.0
76561198002054432,76561198054803936,1.0
76561198084342784,76561198307951872,1.0
76561198157492512,76561198265281760,1.0
76561198081924544,76561198425844064,1.0
76561198072882064,76561198084992992,1.0
76561198185160496,76561198227232752,1.0
76561198046175136,76561198082824176,1.0
76561198044253568,76561198404815392,1.0
76561198114794496,76561198394542192,1.0
76561198089770880,76561198119459824,1.0
76561198043318512,76561198178188496,1.0
76561198221392160,76561198309047488,1.0
76561198124908736,76561198281884608,1.0
76561198002054432,76561198055997984,1.0
76561198054083536,76561198404780144,1.0
76561198048281648,76561198129141296,1.0
76561198202663696,76561198352314192,1.0
76561198084172384,76561198088038848,1.0
76561198040157664,76561198427072096,1.0
76561197994419072,76561198156445728,1.0
76561198142069968,76561198147910576,1.0
76561197979158608,76561198099407568,1.0
76561198082810048,76561198157196288,1.0
76561198047614016,76561198317262496,1.0
76561198130197712,76561199215293952,1.0
76561198153158512,76561198274581664,1.0
76561198094148960,76561198308186832,1.0
76561198397888016,76561199197982112,1.0
76561198169866208,76561198299665200,1.0
76561198077470416,76561198132709408,1.0
76561198217508432,76561198274581664,1.0
76561198074852896,76561198158947008,1.0
76561198134549616,76561198158550080,1.0
76561198152562992,76561198169257424,1.0
76561198064785872,76561198202398176,1.0
76561198134983856,76561198320470048,1.0
76561198085018192,76561198144414144,1.0
76561198073807904,76561198796663520,1.0
76561198116477360,76561199095656448,1.0
76561198002178704,76561198190034720,1.0
76561198005994544,76561198095073824,1.0
76561198109376976,76561198285616704,1.0
76561198045056176,76561198122667872,1.0
76561198084623792,76561198084795632,1.0
76561198097766176,76561198191266224,1.0
76561198001240496,76561198057102864,1.0
76561198199694688,76561198273767696,1.0
76561198062226256,76561198105895296,1.0
76561198080869472,76561198101787584,1.0
76561198095693328,76561199514425344,1.0
76561198202585088,76561198277426960,1.0
76561198092189104,76561198247265952,1.0
76561198018541520,76561198451268432,1.0
76561198119370688,76561198255414272,1.0
76561198042291776,76561198073826752,1.0
76561198050868112,76561198071948544,1.0
76561198065368704,76561198179724192,1.0
76561198064101520,76561198207712112,1.0
76561198044443104,76561198050826768,1.0
76561198078629248,76561198212434304,1.0
76561198062941280,76561198068150816,1.0
76561198116477360,76561198177393360,1.0
76561198047045808,76561198273297936,1.0
76561198093671808,76561198134687728,1.0
76561198048697456,76561198109376976,1.0
76561198134815728,76561198298660752,1.0
76561197971859984,76561198255414272,1.0
76561198076657424,76561198272189312,1.0
76561198205888432,76561198281884608,1.0
76561198066735248,76561198802359888,1.0
76561198020115024,76561198178188496,1.0
76561198070754048,76561198188078400,1.0
76561198050281888,76561198268417440,1.0
